arm,artifact,axis_value,count
DET,halftone,"[0.1,0.2)",7
DET,halftone,"[0.2,0.3)",7
DET,halftone,"[0.3,0.4)",9
DET,halftone,"[0.4,0.5)",11
DET,halftone,"[0.5,0.6)",9
DET,halftone,"[0.6,0.7)",0
DET,moire,"[0.0,0.1)",7
DET,moire,"[0.1,0.2)",9
DET,moire,"[0.2,0.3)",7
DET,moire,"[0.3,0.4)",13
DET,moire,"[0.4,0.5)",9
DET,moire,"[0.5,0.6)",0
DET,moire,"[0.6,0.7)",0
DET,pixel_grid,"[0.0,0.1)",0
DET,pixel_grid,"[0.1,0.2)",2
DET,pixel_grid,"[0.2,0.3)",3
DET,pixel_grid,"[0.3,0.4)",3
DET,pixel_grid,"[0.4,0.5)",5
DET,pixel_grid,"[0.5,0.6)",4
DET,pixel_grid,"[0.6,0.7)",0
DET,specular_reflection,"[0.0,0.1)",2
DET,specular_reflection,"[0.1,0.2)",15
DET,specular_reflection,"[0.2,0.3)",5
DET,specular_reflection,"[0.3,0.4)",12
DET,specular_reflection,"[0.4,0.5)",12
DET,specular_reflection,"[0.5,0.6)",10
DET,specular_reflection,"[0.6,0.7)",1
DET,texture_smoothing,"[0.0,0.1)",6
DET,texture_smoothing,"[0.1,0.2)",13
DET,texture_smoothing,"[0.2,0.3)",11
DET,texture_smoothing,"[0.3,0.4)",15
DET,texture_smoothing,"[0.4,0.5)",16
DET,texture_smoothing,"[0.5,0.6)",8
DET,texture_smoothing,"[0.6,0.7)",0
LLM,blur,"[0.1,0.2)",12
LLM,blur,"[0.2,0.3)",49
LLM,blur,"[0.3,0.4)",4
LLM,blur,"[0.4,0.5)",0
LLM,blur,"[0.5,0.6)",0
LLM,boundary_inconsistency,"[0.1,0.2)",2
LLM,boundary_inconsistency,"[0.2,0.3)",34
LLM,boundary_inconsistency,"[0.3,0.4)",33
LLM,boundary_inconsistency,"[0.4,0.5)",8
LLM,boundary_inconsistency,"[0.5,0.6)",0
LLM,color_shift,"[0.1,0.2)",24
LLM,color_shift,"[0.2,0.3)",37
LLM,color_shift,"[0.3,0.4)",4
LLM,color_shift,"[0.4,0.5)",0
LLM,color_shift,"[0.5,0.6)",0
LLM,halftone,"[0.1,0.2)",1
LLM,halftone,"[0.2,0.3)",33
LLM,halftone,"[0.3,0.4)",30
LLM,halftone,"[0.4,0.5)",1
LLM,halftone,"[0.5,0.6)",0
LLM,moire,"[0.1,0.2)",0
LLM,moire,"[0.2,0.3)",41
LLM,moire,"[0.3,0.4)",21
LLM,moire,"[0.4,0.5)",0
LLM,moire,"[0.5,0.6)",0
LLM,pixel_grid,"[0.1,0.2)",0
LLM,pixel_grid,"[0.2,0.3)",13
LLM,pixel_grid,"[0.3,0.4)",23
LLM,pixel_grid,"[0.4,0.5)",4
LLM,pixel_grid,"[0.5,0.6)",0
LLM,specular_reflection,"[0.1,0.2)",1
LLM,specular_reflection,"[0.2,0.3)",16
LLM,specular_reflection,"[0.3,0.4)",36
LLM,specular_reflection,"[0.4,0.5)",18
LLM,specular_reflection,"[0.5,0.6)",3
LLM,texture_smoothing,"[0.1,0.2)",4
LLM,texture_smoothing,"[0.2,0.3)",39
LLM,texture_smoothing,"[0.3,0.4)",26
LLM,texture_smoothing,"[0.4,0.5)",3
LLM,texture_smoothing,"[0.5,0.6)",0
