fold_id,reserve_tranche,route,slot,recipe_ordinal,position,domain_relation,live_target_sample_id,spoof_source_sample_id,arm,recipe_id,candidate_id
EXT-F1,4,gpat,15,5,3845,cross_domain,m3b_casia_fasd_live_5,m3b_msu_mfsd_spoof_8,RND,rnd_0005,c5syn_c15c44520c50722e36961a89
EXT-F1,4,gpat,15,6,3846,cross_domain,m3b_casia_fasd_live_6,m3b_msu_mfsd_spoof_6,RND,rnd_0006,c5syn_e21860c4514e3d5c0e72fcfe
EXT-F1,4,gpat,15,7,3847,cross_domain,m3b_casia_fasd_live_7,m3b_msu_mfsd_spoof_4,RND,rnd_0007,c5syn_ce41e84b498ba83a5b61424c
EXT-F2,1,physics,8,0,2048,,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,,RND,rnd_0000,c5syn_849b6d3b5c37e487632a6dc5
EXT-F2,1,physics,8,1,2049,,extsrcfa9f33f1de789b646753308824e3fce1,,RND,rnd_0001,c5syn_a2df72be1c8a5d936f548481
EXT-F2,1,physics,8,2,2050,,m3b_casia_fasd_live_0,,RND,rnd_0002,c5syn_42d14fc92430d4db1ba4f522
EXT-F2,1,physics,8,3,2051,,m3b_casia_fasd_live_1,,RND,rnd_0003,c5syn_001a5d91b43b442b3e6c7349
EXT-F2,1,physics,8,4,2052,,m3b_casia_fasd_live_2,,RND,rnd_0004,c5syn_4fc8926900abd3ead3534499
EXT-F2,1,physics,8,5,2053,,m3b_casia_fasd_live_3,,RND,rnd_0005,c5syn_8e4556eddb17c1fc542cfd98
EXT-F2,1,physics,8,6,2054,,m3b_casia_fasd_live_4,,RND,rnd_0006,c5syn_9f90051d71d07efdc312288f
EXT-F2,1,physics,8,7,2055,,m3b_casia_fasd_live_5,,RND,rnd_0007,c5syn_e6f0f74bd3388bc158e203e6
EXT-F2,1,gpat,9,0,2304,same_domain,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,extsrc15db7f5894dcee07353ea604bb690740,RND,rnd_0000,c5syn_47592505c7d95f8e876884c0
EXT-F2,1,gpat,9,1,2305,same_domain,extsrc87cb6fe79882af7ce9c2bae53bbe4001,extsrcfd44582edfd02dc25e29f20a0c2be5bc,RND,rnd_0001,c5syn_aaba2c8e54a2f1a462684163
EXT-F2,1,gpat,9,2,2306,same_domain,extsrcc17b53d436f52e5eec3c9854587fbef1,extsrc190b477de56ab0cdeb3185ae7a0e74f7,RND,rnd_0002,c5syn_5138d6ccadfba693c5975f0b
EXT-F2,1,gpat,9,3,2307,same_domain,extsrccfb80b81c39e1abc95880a6e767465ce,extsrcbe2cfc1727972ceffd55b11f906f6d50,RND,rnd_0003,c5syn_6565ded3ac7674ebdadeaab5
EXT-F2,1,gpat,9,4,2308,same_domain,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,extsrcfd44582edfd02dc25e29f20a0c2be5bc,RND,rnd_0004,c5syn_5345beb41e4af5767083acb6
EXT-F2,1,gpat,9,5,2309,same_domain,extsrcfa9f33f1de789b646753308824e3fce1,extsrccf1518b5458878d1197ff60a304b44fe,RND,rnd_0005,c5syn_cc6aa063b4c2a14431d95750
EXT-F2,1,gpat,9,6,2310,same_domain,m3b_casia_fasd_live_0,m3b_casia_fasd_spoof_8,RND,rnd_0006,c5syn_c37806abf86aae8fbc3654a9
EXT-F2,1,gpat,9,7,2311,same_domain,m3b_casia_fasd_live_1,m3b_casia_fasd_spoof_9,RND,rnd_0007,c5syn_afedb3a5469430eefe54624e
EXT-F2,2,physics,10,0,2560,,extsrc2677ed0221a24e69cc16312631f5b9f0,,RND,rnd_0000,c5syn_13d93017938a72306b25c47e
EXT-F2,2,physics,10,1,2561,,extsrc4238d19011ca5dd05745ae7894673512,,RND,rnd_0001,c5syn_6d85da10ef17b148d051cf97
EXT-F2,2,physics,10,2,2562,,extsrc53bf75d9b945e7a2bd5a76e2599c643d,,RND,rnd_0002,c5syn_80d0f3485629099b81562fae
EXT-F2,2,physics,10,3,2563,,extsrc6bb7a292406044aed25d623be1bced97,,RND,rnd_0003,c5syn_6ccb0e0d5ed41063c282e6ba
EXT-F2,2,physics,10,4,2564,,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,,RND,rnd_0004,c5syn_447b8d423f73a4447e504fb5
EXT-F2,2,physics,10,5,2565,,extsrc87cb6fe79882af7ce9c2bae53bbe4001,,RND,rnd_0005,c5syn_d618a6a416a15e9475a0d861
EXT-F2,2,physics,10,6,2566,,extsrcc17b53d436f52e5eec3c9854587fbef1,,RND,rnd_0006,c5syn_cc2248325d86873aa7f1ea8b
EXT-F2,2,physics,10,7,2567,,extsrccfb80b81c39e1abc95880a6e767465ce,,RND,rnd_0007,c5syn_39052f31b5cd922275a3128f
EXT-F2,2,gpat,11,0,2816,cross_domain,m3b_casia_fasd_live_6,extsrcbe2cfc1727972ceffd55b11f906f6d50,RND,rnd_0000,c5syn_539aeb1fe1f6cac4b40becc9
EXT-F2,2,gpat,11,1,2817,cross_domain,m3b_casia_fasd_live_7,extsrc15db7f5894dcee07353ea604bb690740,RND,rnd_0001,c5syn_1a6189f29bb0f83186b1502c
EXT-F2,2,gpat,11,2,2818,cross_domain,m3b_casia_fasd_live_8,extsrc667459147ff8ac56f69b54864d6b8479,RND,rnd_0002,c5syn_e8b35a3dc747be3de576f8a7
EXT-F2,2,gpat,11,3,2819,cross_domain,m3b_casia_fasd_live_9,extsrc20f2f6e9f33ac0946a9ed1c2dc2028cf,RND,rnd_0003,c5syn_b15647cc7d517a23ad30739d
EXT-F2,2,gpat,11,4,2820,cross_domain,extsrc2677ed0221a24e69cc16312631f5b9f0,m3b_casia_fasd_spoof_2,RND,rnd_0004,c5syn_04418a65a6c42def6be6b62d
EXT-F2,2,gpat,11,5,2821,cross_domain,extsrc4238d19011ca5dd05745ae7894673512,m3b_casia_fasd_spoof_7,RND,rnd_0005,c5syn_52bf4f2409a454fa2929ee24
EXT-F2,2,gpat,11,6,2822,cross_domain,extsrc53bf75d9b945e7a2bd5a76e2599c643d,m3b_casia_fasd_spoof_3,RND,rnd_0006,c5syn_d5e7464428e0552d6c9e59c6
EXT-F2,2,gpat,11,7,2823,cross_domain,extsrc6bb7a292406044aed25d623be1bced97,m3b_casia_fasd_spoof_7,RND,rnd_0007,c5syn_13739fd846fcfe1eb74f5219
EXT-F2,3,physics,12,0,3072,,m3b_casia_fasd_live_2,,RND,rnd_0000,c5syn_6bb495b69ccc45b2c6c76b4c
EXT-F2,3,physics,12,1,3073,,m3b_casia_fasd_live_3,,RND,rnd_0001,c5syn_7aad509bf2932e9fc2a1fea3
EXT-F2,3,physics,12,2,3074,,m3b_casia_fasd_live_4,,RND,rnd_0002,c5syn_fdf088d53913dbb5a2bcb5da
EXT-F2,3,physics,12,3,3075,,m3b_casia_fasd_live_5,,RND,rnd_0003,c5syn_df1cbef374de9b3a81b4c396
EXT-F2,3,physics,12,4,3076,,m3b_casia_fasd_live_6,,RND,rnd_0004,c5syn_4129aef859e2b8f20efeda89
EXT-F2,3,physics,12,5,3077,,m3b_casia_fasd_live_7,,RND,rnd_0005,c5syn_57d7477e81b3c2fabe3e73b4
EXT-F2,3,physics,12,6,3078,,m3b_casia_fasd_live_8,,RND,rnd_0006,c5syn_9b4ff450c113c7a660d103d6
EXT-F2,3,physics,12,7,3079,,m3b_casia_fasd_live_9,,RND,rnd_0007,c5syn_4d20555fd062e0c9fae46185
EXT-F2,3,gpat,13,0,3328,same_domain,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,extsrc1520102647650e225ec872074f27242a,RND,rnd_0000,c5syn_87a565c39c7128249bed45b1
EXT-F2,3,gpat,13,1,3329,same_domain,extsrcfa9f33f1de789b646753308824e3fce1,extsrc20f2f6e9f33ac0946a9ed1c2dc2028cf,RND,rnd_0001,c5syn_c1cadcb1cf6a68befb09f6e2
EXT-F2,3,gpat,13,2,3330,same_domain,m3b_casia_fasd_live_0,m3b_casia_fasd_spoof_3,RND,rnd_0002,c5syn_7419da8bbd026c431b788bc5
EXT-F2,3,gpat,13,3,3331,same_domain,m3b_casia_fasd_live_1,m3b_casia_fasd_spoof_7,RND,rnd_0003,c5syn_4a2c0d868b020c42f2ae9903
EXT-F2,3,gpat,13,4,3332,same_domain,m3b_casia_fasd_live_2,m3b_casia_fasd_spoof_0,RND,rnd_0004,c5syn_fa6ae4b986ac715e5f7667a8
EXT-F2,3,gpat,13,5,3333,same_domain,m3b_casia_fasd_live_3,m3b_casia_fasd_spoof_1,RND,rnd_0005,c5syn_279dcca621388783da3d422d
EXT-F2,3,gpat,13,6,3334,same_domain,m3b_casia_fasd_live_4,m3b_casia_fasd_spoof_9,RND,rnd_0006,c5syn_45a9feee8c20f6ddb63ecb67
EXT-F2,3,gpat,13,7,3335,same_domain,m3b_casia_fasd_live_5,m3b_casia_fasd_spoof_4,RND,rnd_0007,c5syn_31191473d71a574138a464b4
EXT-F2,4,physics,14,0,3584,,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,,RND,rnd_0000,c5syn_139cf6bfd453ad9e5964501e
EXT-F2,4,physics,14,1,3585,,extsrc87cb6fe79882af7ce9c2bae53bbe4001,,RND,rnd_0001,c5syn_b110b24cf2c4b2d3239fb15d
EXT-F2,4,physics,14,2,3586,,extsrcc17b53d436f52e5eec3c9854587fbef1,,RND,rnd_0002,c5syn_3e6c171f7862046e94fcbcba
EXT-F2,4,physics,14,3,3587,,extsrccfb80b81c39e1abc95880a6e767465ce,,RND,rnd_0003,c5syn_c4b0e28921fe43099a248ffb
EXT-F2,4,physics,14,4,3588,,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,,RND,rnd_0004,c5syn_1586626147ee9dfdbbb65f57
EXT-F2,4,physics,14,5,3589,,extsrcfa9f33f1de789b646753308824e3fce1,,RND,rnd_0005,c5syn_da8b33b9a3f2953c54aa1321
EXT-F2,4,physics,14,6,3590,,m3b_casia_fasd_live_0,,RND,rnd_0006,c5syn_7969b9684530fa42184c581c
EXT-F2,4,physics,14,7,3591,,m3b_casia_fasd_live_1,,RND,rnd_0007,c5syn_c24e27c729d9eb0509fc8b8d
EXT-F2,4,gpat,15,0,3840,cross_domain,extsrc2677ed0221a24e69cc16312631f5b9f0,m3b_casia_fasd_spoof_7,RND,rnd_0000,c5syn_4c886b0a5c8ae53a1c894ae5
EXT-F2,4,gpat,15,1,3841,cross_domain,extsrc4238d19011ca5dd05745ae7894673512,m3b_casia_fasd_spoof_4,RND,rnd_0001,c5syn_eec11c6406b69641e5452280
EXT-F2,4,gpat,15,2,3842,cross_domain,extsrc53bf75d9b945e7a2bd5a76e2599c643d,m3b_casia_fasd_spoof_3,RND,rnd_0002,c5syn_60ab8d20f613bfed99859ef5
EXT-F2,4,gpat,15,3,3843,cross_domain,extsrc6bb7a292406044aed25d623be1bced97,m3b_casia_fasd_spoof_8,RND,rnd_0003,c5syn_f1d37ffa1df58ea7fb715e5c
EXT-F2,4,gpat,15,4,3844,cross_domain,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,m3b_casia_fasd_spoof_3,RND,rnd_0004,c5syn_ac32476f5fea17e28a17c4aa
EXT-F2,4,gpat,15,5,3845,cross_domain,extsrc87cb6fe79882af7ce9c2bae53bbe4001,m3b_casia_fasd_spoof_8,RND,rnd_0005,c5syn_b6cb7588a45cee007790c11f
EXT-F2,4,gpat,15,6,3846,cross_domain,extsrcc17b53d436f52e5eec3c9854587fbef1,m3b_casia_fasd_spoof_3,RND,rnd_0006,c5syn_015da7c5996aa13602531d52
EXT-F2,4,gpat,15,7,3847,cross_domain,extsrccfb80b81c39e1abc95880a6e767465ce,m3b_casia_fasd_spoof_8,RND,rnd_0007,c5syn_e17536da1e1040b8ebdbd858
EXT-F3,1,physics,8,0,2048,,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,,RND,rnd_0000,c5syn_97ce7089c0efccf674041419
EXT-F3,1,physics,8,1,2049,,extsrcfa9f33f1de789b646753308824e3fce1,,RND,rnd_0001,c5syn_c0d7ccf159b97b878e4cb802
EXT-F3,1,physics,8,2,2050,,m3b_msu_mfsd_live_0,,RND,rnd_0002,c5syn_9a595d5a31730e34a03343fc
EXT-F3,1,physics,8,3,2051,,m3b_msu_mfsd_live_1,,RND,rnd_0003,c5syn_43d280b97c64c1845510afe8
EXT-F3,1,physics,8,4,2052,,m3b_msu_mfsd_live_2,,RND,rnd_0004,c5syn_8328ca1cffcfd49c0767d0bf
EXT-F3,1,physics,8,5,2053,,m3b_msu_mfsd_live_3,,RND,rnd_0005,c5syn_5fdad185cd2a8e5c2b34298c
EXT-F3,1,physics,8,6,2054,,m3b_msu_mfsd_live_4,,RND,rnd_0006,c5syn_ff7882439a917dae01d21341
EXT-F3,1,physics,8,7,2055,,m3b_msu_mfsd_live_5,,RND,rnd_0007,c5syn_74597f583b85fcff879cc061
EXT-F3,1,gpat,9,0,2304,same_domain,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,extsrc15db7f5894dcee07353ea604bb690740,RND,rnd_0000,c5syn_428605f32321c48dffedbef2
EXT-F3,1,gpat,9,1,2305,same_domain,extsrc87cb6fe79882af7ce9c2bae53bbe4001,extsrcfd44582edfd02dc25e29f20a0c2be5bc,RND,rnd_0001,c5syn_ad992135643d08ae205fc16d
EXT-F3,1,gpat,9,2,2306,same_domain,extsrcc17b53d436f52e5eec3c9854587fbef1,extsrc190b477de56ab0cdeb3185ae7a0e74f7,RND,rnd_0002,c5syn_638457dd1c8f4a3c3898d929
EXT-F3,1,gpat,9,3,2307,same_domain,extsrccfb80b81c39e1abc95880a6e767465ce,extsrcbe2cfc1727972ceffd55b11f906f6d50,RND,rnd_0003,c5syn_81614c9ee64369a44242d7c4
EXT-F3,1,gpat,9,4,2308,same_domain,extsrce2226f4f16bd7d9f90a4414f2ad62e7a,extsrcfd44582edfd02dc25e29f20a0c2be5bc,RND,rnd_0004,c5syn_1d38f76c30d2e0ced50f4ed5
EXT-F3,1,gpat,9,5,2309,same_domain,extsrcfa9f33f1de789b646753308824e3fce1,extsrccf1518b5458878d1197ff60a304b44fe,RND,rnd_0005,c5syn_e0ddf03cb2d4d04b08b5b51d
EXT-F3,1,gpat,9,6,2310,same_domain,m3b_msu_mfsd_live_0,m3b_msu_mfsd_spoof_6,RND,rnd_0006,c5syn_23902c8a1b5fedee0e6f80f8
EXT-F3,1,gpat,9,7,2311,same_domain,m3b_msu_mfsd_live_1,m3b_msu_mfsd_spoof_9,RND,rnd_0007,c5syn_3959851b52e4898483ffce9b
EXT-F3,2,physics,10,0,2560,,extsrc2677ed0221a24e69cc16312631f5b9f0,,RND,rnd_0000,c5syn_5b5d57ef35957f214689d5c2
EXT-F3,2,physics,10,1,2561,,extsrc4238d19011ca5dd05745ae7894673512,,RND,rnd_0001,c5syn_c82c964fc294508386e54325
EXT-F3,2,physics,10,2,2562,,extsrc53bf75d9b945e7a2bd5a76e2599c643d,,RND,rnd_0002,c5syn_3caf66305aa3cc73db880914
EXT-F3,2,physics,10,3,2563,,extsrc6bb7a292406044aed25d623be1bced97,,RND,rnd_0003,c5syn_d01415a40b989dfa519fd6e2
EXT-F3,2,physics,10,4,2564,,extsrc80406b782f1b12b38ae3e1b47d3c6ee1,,RND,rnd_0004,c5syn_e17aaf3b48eeb9df95498d5b
EXT-F3,2,physics,10,5,2565,,extsrc87cb6fe79882af7ce9c2bae53bbe4001,,RND,rnd_0005,c5syn_4c12ca11cd16e19f88744cd9
EXT-F3,2,physics,10,6,2566,,extsrcc17b53d436f52e5eec3c9854587fbef1,,RND,rnd_0006,c5syn_6a657e3143d49abc2b9a1cfb
EXT-F3,2,physics,10,7,2567,,extsrccfb80b81c39e1abc95880a6e767465ce,,RND,rnd_0007,c5syn_48f832c0d5fbb3bec92bea31
EXT-F3,2,gpat,11,0,2816,cross_domain,m3b_msu_mfsd_live_6,extsrc190b477de56ab0cdeb3185ae7a0e74f7,RND,rnd_0000,c5syn_40494272c65a7ee747837e33
EXT-F3,2,gpat,11,1,2817,cross_domain,m3b_msu_mfsd_live_7,extsrccf1518b5458878d1197ff60a304b44fe,RND,rnd_0001,c5syn_e25e4b2b2ceba9771b4be96e
EXT-F3,2,gpat,11,2,2818,cross_domain,m3b_msu_mfsd_live_8,extsrc20f2f6e9f33ac0946a9ed1c2dc2028cf,RND,rnd_0002,c5syn_28eb32dc8f6316f92180c8c3
EXT-F3,2,gpat,11,3,2819,cross_domain,m3b_msu_mfsd_live_9,extsrc190b477de56ab0cdeb3185ae7a0e74f7,RND,rnd_0003,c5syn_43a9e84498886d9d44c4f8a6
EXT-F3,2,gpat,11,4,2820,cross_domain,extsrc2677ed0221a24e69cc16312631f5b9f0,m3b_msu_mfsd_spoof_2,RND,rnd_0004,c5syn_972270c7279ee1c2619ea912
EXT-F3,2,gpat,11,5,2821,cross_domain,extsrc4238d19011ca5dd05745ae7894673512,m3b_msu_mfsd_spoof_7,RND,rnd_0005,c5syn_d3fc78b7706ae1cecb6a388a
EXT-F3,2,gpat,11,6,2822,cross_domain,extsrc53bf75d9b945e7a2bd5a76e2599c643d,m3b_msu_mfsd_spoof_3,RND,rnd_0006,c5syn_1d75fb5d81e13f0d078dee81
EXT-F3,2,gpat,11,7,2823,cross_domain,extsrc6bb7a292406044aed25d623be1bced97,m3b_msu_mfsd_spoof_7,RND,rnd_0007,c5syn_09903ddbd998c5e4c1bb224e
EXT-F3,3,physics,12,0,3072,,m3b_msu_mfsd_live_2,,RND,rnd_0000,c5syn_0cbc569e968ab4ede090bb29
EXT-F3,3,physics,12,1,3073,,m3b_msu_mfsd_live_3,,RND,rnd_0001,c5syn_398a302a6b891a00dade8fa5
EXT-F3,3,physics,12,2,3074,,m3b_msu_mfsd_live_4,,RND,rnd_0002,c5syn_43cede644b894ab2ad10a88e
EXT-F3,3,physics,12,3,3075,,m3b_msu_mfsd_live_5,,RND,rnd_0003,c5syn_564a2c1d624fc1e37b7acae7
EXT-F3,3,physics,12,4,3076,,m3b_msu_mfsd_live_6,,RND,rnd_0004,c5syn_d801a0ffa0e68f57594a5c60
